# Without drogue (Up to date)
# 598 data points written for 3 variables.
# Simulation warnings:
#   No recovery device defined in the simulation.
#   Forward end of airframe is open (radius is > 0):  "Übergang"
#
# Time (s),Total acceleration (m/s²),Air pressure (mbar)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
15.634,8.933,932.915
15.684,8.913,933.027
15.734,8.941,933.142
15.784,8.903,933.26
15.834,8.913,933.38
15.884,8.917,933.502
15.934,8.943,933.627
15.984,8.953,933.754
16.034,8.902,933.884
16.084,8.856,934.017
16.134,8.821,934.152
16.184,8.801,934.289
16.234,8.769,934.429
16.284,8.719,934.571
16.334,8.651,934.715
16.384,8.618,934.862
16.434,8.596,935.012
16.484,8.53,935.164
16.534,8.435,935.318
16.584,8.397,935.474
16.634,8.377,935.633
16.684,8.346,935.794
16.734,8.318,935.958
16.784,8.267,936.124
16.834,8.211,936.292
16.884,8.121,936.462
16.934,8.111,936.635
16.984,8.082,936.81
17.034,8.106,936.987
17.084,8.174,937.166
17.134,8.203,937.348
17.184,8.188,937.532
17.234,8.127,937.718
17.284,8.013,937.907
17.334,7.949,938.098
17.384,7.844,938.291
17.434,7.698,938.486
17.484,7.676,938.683
17.534,7.632,938.882
17.584,7.555,939.084
17.634,7.462,939.287
17.684,7.436,939.493
17.734,7.525,939.701
17.784,7.503,939.911
17.834,7.479,940.123
17.884,7.474,940.337
17.934,7.53,940.553
17.984,7.463,940.771
18.034,7.39,940.991
18.084,7.272,941.213
18.134,7.237,941.438
18.184,7.163,941.664
18.234,7.085,941.892
18.284,7.031,942.122
18.334,6.978,942.355
18.384,6.925,942.589
18.434,6.92,942.825
18.484,6.843,943.063
18.534,6.773,943.303
18.584,6.785,943.544
18.634,6.783,943.788
18.684,6.783,944.034
18.734,6.81,944.281
18.784,6.76,944.53
18.834,6.669,944.781
18.884,6.595,945.034
18.934,6.466,945.289
18.984,6.356,945.546
19.034,6.283,945.804
19.084,6.237,946.064
19.134,6.216,946.326
19.184,6.18,946.589
19.234,6.273,946.855
19.284,6.296,947.122
19.334,6.247,947.39
19.384,6.169,947.661
19.434,6.085,947.933
19.484,6.008,948.207
19.534,5.916,948.482
19.584,5.804,948.759
19.634,5.746,949.038
19.684,5.744,949.318
19.734,5.81,949.6
19.784,5.878,949.883
19.834,5.805,950.169
19.884,5.64,950.455
19.934,5.507,950.743
19.984,5.395,951.033
20.034,5.42,951.324
20.084,5.453,951.617
20.134,5.547,951.911
20.184,5.614,952.207
20.234,5.48,952.504
20.284,5.298,952.803
20.334,5.077,953.103
20.384,5.04,953.405
20.434,5.009,953.708
20.484,5.062,954.012
20.534,5.201,954.318
20.584,5.352,954.626
20.634,5.185,954.95
20.684,4.944,955.276
20.734,4.752,955.602
20.784,4.611,955.931
20.833,4.622,956.256
20.883,4.764,956.587
20.933,4.953,956.919
20.983,5.009,957.253
21.033,4.851,957.588
21.083,4.62,957.925
21.133,4.407,958.262
21.183,4.294,958.601
21.233,4.3,958.942
21.283,4.547,959.283
21.333,4.679,959.626
21.383,4.613,959.97
21.433,4.448,960.316
21.483,4.264,960.662
21.533,4.092,961.01
21.583,3.99,961.359
21.633,4.019,961.71
21.683,4.162,962.061
21.733,4.236,962.414
21.783,4.253,962.767
21.833,4.218,963.122
21.883,4.003,963.478
21.933,3.814,963.836
21.983,3.695,964.194
22.033,3.699,964.553
22.083,3.715,964.914
22.133,3.822,965.275
22.183,4.009,965.638
22.233,3.989,966.002
22.283,3.768,966.367
22.333,3.64,966.733
22.383,3.576,967.099
22.433,3.414,967.467
22.483,3.384,967.836
22.533,3.407,968.206
22.583,3.435,968.577
22.633,3.626,968.949
22.683,3.604,969.322
22.733,3.434,969.696
22.783,3.316,970.07
22.833,3.177,970.446
22.883,3.145,970.823
22.933,3.188,971.2
22.983,3.224,971.579
23.033,3.185,971.958
23.083,3.159,972.338
23.133,3.199,972.719
23.183,3.071,973.101
23.233,3.034,973.484
23.283,2.987,973.868
23.333,2.99,974.252
23.383,2.997,974.638
23.433,2.921,975.024
23.483,2.788,975.411
23.533,2.738,975.799
23.583,2.767,976.188
23.633,2.905,976.577
23.683,2.94,976.967
23.733,2.866,977.358
23.783,2.619,977.75
23.833,2.591,978.142
23.883,2.529,978.536
23.933,2.579,978.93
23.983,2.66,979.324
24.033,2.519,979.72
24.083,2.439,980.116
24.133,2.504,980.513
24.183,2.484,980.91
24.233,2.468,981.308
24.283,2.42,981.707
24.333,2.38,982.106
24.383,2.504,982.507
24.433,2.485,982.907
24.483,2.352,983.309
24.533,2.287,983.711
24.583,2.12,984.114
24.633,2.062,984.517
24.683,2.227,984.921
24.733,2.277,985.326
24.783,2.275,985.731
24.833,2.136,986.137
24.883,1.986,986.543
24.933,2.041,986.95
24.983,2.245,987.357
25.033,2.27,987.765
25.083,2.152,988.174
25.133,1.937,988.583
25.183,1.822,988.993
25.233,1.879,989.403
25.283,1.846,989.814
25.333,1.864,990.225
25.383,2.039,990.637
25.433,2.083,991.049
25.483,1.956,991.462
25.533,1.742,991.876
25.583,1.626,992.289
25.633,1.618,992.704
25.683,1.742,993.118
25.733,1.812,993.534
25.783,1.85,993.949
25.833,1.828,994.365
25.883,1.726,994.782
25.933,1.643,995.199
25.983,1.495,995.617
26.033,1.502,996.035
26.083,1.733,996.453
26.133,1.9,996.872
26.183,1.606,997.291
26.233,1.437,997.71
26.283,1.492,998.13
26.333,1.573,998.551
26.383,1.513,998.972
26.433,1.484,999.393
26.483,1.406,999.814
26.533,1.357,1000.236
26.583,1.385,1000.659
26.633,1.501,1001.081
26.683,1.412,1001.504
26.733,1.447,1001.928
26.783,1.56,1002.352
26.833,1.433,1002.776
26.883,1.204,1003.2
26.933,1.144,1003.625
26.983,1.158,1004.05
